Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,BGR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.95,1646.64,1688.02,1699.24,1831.44,2000.45,1904.57,2451.79,2336.22,2689.9,2627.76,2475.9,2656.48,2685.04,2676.19,2558.33,2557.01,2808.03,3311.27,
Bahrain,BHR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.53,82.76,67.33,130.15,139.96,161.53,180.92,172.91,156.31,189.88,211.5,179.46,160.77,241.31,213.26,180.26,220.98,259.34,321.51,
"Bahamas, The",BHS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,5.19,4.13,3.66,3.03,7.37,6.12,11.14,6.05,9.83,9.2,10.77,8.01,18.89,15.56,12.77,12.91,20.4,19.77,
Bosnia and Herzegovina,BIH,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.59,66.14,108.91,151.74,199.34,250.03,285.9,312.53,396.82,443.34,482.17,539.74,540.99,486,482.98,568.22,568.38,724.8,703.79,
Belarus,BLR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.05,1260.38,1264.88,1233.93,1225.92,1302.2,1163.43,1300.93,1048.25,1167.91,1061.94,1097.17,1032.04,1099.19,1056.66,976.31,1008.55,1064.9,1179.81,
Belize,BLZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,2,1.91,4.76,4.92,5.83,4.83,2.23,3.64,8.33,10.71,3.26,8.28,8.56,5.16,7.64,5.88,11.38,9.11,
Bermuda,BMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.82,41.44,44.75,50.3,44.6,62.85,68.47,85.28,94.35,85.34,77.09,84.29,85.78,89.9,91.35,86.82,92.4,88.05,102.8,
Brazil,BRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12783.45,13944.64,16148.98,17585.44,19814.08,22304.02,28348.73,31059.14,35489.96,38551.09,41666.17,44353.74,48282.01,50497.9,52632.41,53064.56,55181.31,58022.38,60147.96,
Barbados,BRB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.96,44.08,37.34,42.28,54.09,37.07,49.29,49.82,43.14,37.63,29.34,35.53,48.49,40.58,47.55,54.96,53.46,48.84,37.97,
