Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,11585.7786322753,14115.5758149546,17478.97406204,20392.4959009318,22030.0880107183,24157.8456253288,25143.2417381109,26736.9207216154,29071.4732724902,29426.4478860615,29689.0625,32090.6718470234,34150.2343114452,34647.6040671872,36911.0541203923,36997.5672242675,36582.0279602493,37292.4332848882,40400.2552234725,41707.0708080495,43041.037745205,46244.8874750548,48481.6196057539,44088.5121482431,42087.558646195,44724.9279736589,44237.51950078,46879.0895607751,47699.8092007632,50085.7764445424,50623.6173621176,51923.7704762447,,
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,2689.79372284434,2693.73932455851,2630.61067272948,3541.78743933511,3694.28538209325,4549.87371840198,6191.74584238999,7240.43649925971,5809.87453961681,5819.83707944793,7043.35227493417,7180.54103348498,6089.27887414486,6441.50922750363,7814.41940876262,8392.99037130906,8885.04783980151,10090.115877651,11130.9347856167,12049.7592359617,12024.0980971752,13073.5102139265,,,,,,,,,,,,,,,,,,,,,8060.02279125888,9347.56846570381,10102.1204743831,12012.1578869675,13167.1682899691,17911.788025152,18578.8085581429,21542.3889919613,24883.279317368,28234.406301763,33015.0446533555,35290.4956831028,35254.4649012547,35531.1966433738,37141.9587974246,37896.4606379696,37917.1041455343,38979.1750375127
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,2.12711489490533E-05,1.92188402622156E-05,1.85480038946157E-05,1.86520954169907E-05,1.90791642720968E-05,2.26864682790408E-05,2.05032809526758E-05,2.26273546425802E-05,2.37057093569418E-05,2.66453797628535E-05,2.83553091279943E-05,5.71479841334337E-05,0.000300220440808933,0.00224855753886659,0.050215691985343,1.07673561796075,58.0174503786929,117.794220785028,166.397551603066,1082.19208213038,5590.9396453521,11631.8702391095,37979.8597179347,73335.0757407825,104891.578085146,165813.4194577,208922.217533476,239476.10955141,306206.909187351,247724.577200578,329746.97199627,433553.066124,486895.946607468,507192.309963415,531659.731898179,500290.497730611,573791.266508113,679560.900011631,831805.910000214,1084842.77374648
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,5610.77351509002,5691.06430682275,5735.33964640025,5676.07139340919,5486.77898478496,5490.04945422263,5550.9877970711,5398.34706455593,5222.19457117253,5583.96477261216,4937.84348412404,4846.85272086666,15070.4441800668,37485.4359094806,55488.6492310609,69579.1559277542,105541.555280516,105239.729236367,123012.536239064,142690.677816171,162251.411204888,184123.18846026,200095.794507393,222968.1380806,243696.866702633,267031.938042568,291636.221586495,325091.661091502,366664.715737787,390753.211166179,425553.262403532,447689.081111595,459526.451687198,466324.61075503,482954.102725274,497901.560834282,511970.587959185,539644.577942179,570655.988607217,588015.668888312
Andorra,AND,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,1362.46086669962,1460.48749951094,1629.09415439536,1870.82742986682,2191.05352303523,2473.33984693047,2875.97004122479,3538.50050349394,4206.96861013131,4768.53064506864,5333.42667812682,5755.552,6345.65884338089,6915.52842146475,7467.66964829298,7945.43049327354,8721.54051207086,9362.45795067589,10014.4803109014,10790.9205308115,11564.9727567925,12198.0713239576,12643.0070642576,12633.4486887209,13070.644734113,13834.7220046985,14477.7750155376,16150.6925552256,16965.3908515481,18079.0414789498,23720.5994800428,25670.6909609302,26636.0690373881,28592.9600174906,30580.3735375898,32217.2771881776,34016.8903485486,34925.3785496589,33260.1178125969,31313.5929341842,30815.1665502256,31132.1002543375,30109.6728013879,29768.7374650259,31089.4676378877,32232.7620463781,33854.6127275315,34489.941689069,35390.3591927902,36523.8132275544
Arab World,ARB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,106352.167878592,119060.0104715,132022.563589286,110161.721970346,127874.567077614,158544.946636077,165148.047163531,146936.056304655,127909.030745023,118609.304227065,109105.495387084,86150.9423526321,87098.7052146151,81845.4813756787,88207.4960551805,101794.871233932,97693.8837562134,96991.0238780335,93965.4573407407,94887.7368009292,99932.0936279807,106367.30906619,108340.988604315,98788.7874864834,104559.152052876,122262.737622932,114878.680263141,115931.547207539,123025.421801908,133433.860054024,144569.556004773,153904.947271542,153545.448915987,163422.335960275,117608.806937453,124473.157155308,143942.449890055,150486.195189549,155760.384696089,160678.6283091,141991.277029872,140075.932220772,149268.042849357,161000.036192221,158296.953931667
Argentina,ARG,GDP per capita (current LCU),NY.GDP.PCAP.CN,6.42077607614065E-09,8.01292492491569E-09,1.00758948590492E-08,1.17954272277722E-08,1.64710912658638E-08,2.17449288143089E-08,2.67288629763402E-08,3.50639356903752E-08,3.99378161733029E-08,4.65170523102878E-08,5.02584491922112E-08,6.86187180798531E-08,1.12709216228741E-07,1.88732033177209E-07,2.56037729722945E-07,7.50114741618423E-07,3.89644926154633E-06,1.0648541339779E-05,2.61856469540591E-05,7.03337149224514E-05,0.000137665873772672,0.00026375058130913,0.00075891102718473,0.00374170679173607,0.0265970853304323,0.175567613735629,0.325225958765253,0.748203870426942,3.50696829250633,100.909120759544,2112.96289843501,5468.66607213035,6759.39636245596,6962.14896972224,7483.13968170844,7408.70823818765,7721.35454273963,8213.12719994479,8289.50572933118,7774.73620280001,7708.10099605414,7208.3715665121,8295.26251554831,9869.53378435359,12603.022643267,14977.9962045031,18221.0866549395,22602.9005706162,28683.6701899394,30826.1691092027,40739.9840807887,52810.1167359686,63208.8926890011,79338.285078988,107315.211694536,138053.315160733,188760.95646864,241680.655621385,328260.564619871,481775.060166388
Armenia,ARM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2192109991292,22.7344178374317,90.097731015038,1254.31892166413,56968.3247722744,162324.992758011,208700.410261784,256722.676374658,307327.494726873,319662.23986103,335985.575928519,385446.556791962,449071.054569282,538329.790068166,635829.200991762,752324.22837389,897874.966999706,1073881.22148879,1227199.58398937,1087794.64089094,1202578.75473661,1313365.44137432,1479237.7789697,1572219.54566287,1657952.6597109,1723993.10489333,1725831.58330682,1889593.96008366,2038445.73571978,2220969.65545548
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700.06770480704,8856.54745899435,8578.94472277609,8444.98169974145,8391.56106721708,8909.44915617236,9792.66680581646,11961.2582255703,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,
Antigua and Barbuda,ATG,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,3366.22588844737,3824.78273905474,4753.9376129907,5736.09911904954,6459.10490291262,7183.62312436265,7959.42594720572,9105.73082899039,10528.1875667627,12698.5843831978,14750.751446117,17424.3879004711,19106.3399722616,19840.1749456244,20524.9909258762,20909.5422748212,21967.6558675525,23681.0294030117,22697.8010776176,24383.6333062574,25628.5032913087,26838.5174259806,27703.5795591504,29486.2752578405,28000.8120499404,28091.9777763586,29132.867591425,30905.9238697471,33878.5552077579,37772.2322983169,42139.1426463238,43265.7329882783,38105.3086021257,35232.9940473486,34414.7535657065,35835.5915893329,34856.3092792517,36454.2684903092,38572.4515315392,41033.5671289684,41535.2210089493,45162.8481814594,48033.8351284005
Australia,AUS,GDP per capita (current LCU),NY.GDP.PCAP.CN,1614.17186064835,1673.94829724316,1653.509588531,1753.7899543379,1900.15223426166,2033.63189322093,2089.77770148485,2300.36443766421,2428.76176201182,2667.0472152002,2946.42999920045,3116.17840303007,3375.88221901799,3718.01195814649,4392.04255629236,5121.85992946088,5931.30478158626,6769.5885005637,7307.35478478897,8170.52501033485,9149.40103457664,10192.4030280699,11570.2991171432,12307.6973127725,13727.354606279,14911.2831577611,16246.3167357539,17567.0042240791,19591.4639309953,21858.109715482,23665.5513299072,23980.4443415876,24146.3275221492,25097.07364012,26085.5222626715,27366.4785303232,28813.2270220086,29988.1730301885,31430.5488749933,32766.6173517912,34519.8663394768,36319.2705918714,38381.6420204158,40258.5522281532,42779.4449357592,45225.7928491576,48141.5989061692,52170.821410052,55405.0505430793,58093.4182198721,59060.7191893517,63411.8387697345,65958.1810339955,66425.9093331761,68093.0048220955,68214.7019261635,68650.34039443,71686.7342550523,74046.4757034952,76771.1098907611
Austria,AUT,GDP per capita (current LCU),NY.GDP.PCAP.CN,1767.54658668792,1949.6079541662,2055.45595371805,2205.04015838767,2398.54708289999,2597.16982393762,2809.61781879595,2965.8762591504,3169.95356826864,3449.05559117625,3890.04417519766,4323.38065740308,4912.10969856185,5536.10898332018,6290.42059007996,6690.01015054553,7402.9126597295,8180.24496493989,8659.23135869288,9514.64299598976,10219.5475474781,10862.4872138053,11666.0074543116,12450.1316598584,13073.9077270264,13791.1647015824,14515.669158236,15061.6766777749,15773.2947746284,16796.391763469,17915.0017778415,19015.6586082254,19869.2990264018,20356.1154559034,21289.3262171757,22219.7499886139,22935.1036692094,23685.0889697982,24614.7428495351,25505.7953106005,26662.2630332197,27420.6721888894,28054.4947220085,28549.4869556727,29656.0533903347,30879.9599505532,32390.3831355116,34232.8268370501,35301.5743803758,34523.8965337912,35379.9290336805,36956.8462338067,37799.9264767898,38197.754835213,38981.0663164511,39833.5323259551,40896.5649146791,42090.7066795521,43630.000992023,44911.4961056394
Azerbaijan,AZE,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0409554407040089,0.0734974556457159,0.65295312923327,4.18945963975984,49.3221008292747,277.657774886142,352.003091588304,402.934328453418,434.803487931252,472.90720616329,586.201326938846,655.340763388895,741.866996249365,867.91513340863,1026.93071690845,1492.22161978586,2209.45129676883,3304.91883514153,4580.09448387612,3979.04695334641,4690.02020248429,5677.69916370528,5889.08907521947,6178.53132926989,6189.15690158414,5635.6180178522,6192.49479289005,7137.97081864857,8057.73090748268,8149.09793343881
Burundi,BDI,GDP per capita (current LCU),NY.GDP.PCAP.CN,3502.58673191486,3558.35941044117,3671.76527806871,3925.71647067039,4308.08032277145,4335.34483009354,4565.98191446748,4795.55935077207,4803.82100057928,4875.06385651149,6104.81409708445,6267.34243683493,6049.69764678264,6755.6862090257,7456.46907894322,8958.05862389486,10256.4102564103,12784.7718672857,13906.4575543911,17383.5182070451,19910.8651821447,20441.5308026213,20820.9467080574,22380.7140492354,25572.0333435546,29214.0100786451,28076.1644309922,27809.8592081618,29400.8278293682,33303.3167648659,35646.172602578,38077.4155846816,39679.4330730543,39306.2978555043,39620.6664658405,41734.2910014176,43415.0463580618,55993.5839323895,64699.0524062324,72664.9097736059,98345.4898366812,111568.688638267,114591.633732904,122950.30217882,141287.06043572,164055.212439826,172177.444636454,186618.044230289,235185.209341453,260966.377808696,288285.124190805,314736.126047424,364029.241655949,399621.017770007,425119.132427638,480293.168425684,466924.288124388,506609.018323041,484501.284878239,482160.164007361
